,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,price,beds,baths,parking,title,address,propertyType,status,bond,Coordinates,Latitude,Longitude
34,34,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1096,16086230,425.0,3,2,2,$425 pw,"17 Sotterra Walk, Fraser Rise VIC 3336",House,new,1847.0,Just do it by hand,J,u
35,35,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176,1180,16085995,610.0,3,2,2,$610 per week,"66 Bayshore Ave, Clifton Springs VIC 3222",House,new,2651.0,Just do it by hand,J,u
36,36,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1198,1203,16069919,420.0,4,2,2,$420 per week,"3 Bixby Avenue, Wallan VIC 3756",House,recentlyUpdated,1825.0,Just do it by hand,J,u
37,37,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1274,16085677,450.0,4,2,2,$450 Per Week,"22 Offaly Street, Alfredton VIC 3350",House,new,1955.0,Just do it by hand,J,u
38,38,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1276,16085670,420.0,3,1,1,$420 per week,"4 Riddlestone Court, Narre Warren South VIC 3805",House,new,1825.0,Just do it by hand,J,u
39,39,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1324,16085503,650.0,4,2,2,$650 per week,"1 Cassawory Place, Safety Beach VIC 3936",Townhouse,new,2824.0,Just do it by hand,J,u
40,40,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1365,16085361,585.0,4,2,2,$585 per week,"26 William Street, Dromana VIC 3936",House,new,2524.0,"('-37.735307023529415', '145.00224391764706')",-37.735307023529415,145.00224391764706
41,41,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1381,1388,16085304,440.0,2,1,1,$440 pw,"10/182 Weatherall Road, Beaumaris VIC 3193",Apartment / Unit / Flat,new,1912.0,"('-36.0979336', '146.7606441')",-36.0979336,146.7606441
42,42,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1401,16085250,550.0,3,3,10,$550,"86 Patterson Street, Beveridge VIC 3753",House,new,2390.0,"('-37.474413', '144.9570844')",-37.474413,144.9570844
43,43,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1429,1436,16085119,350.0,3,2,1,$350,"2/9 Satchville Street, Harkness VIC 3337",House,new,1516.0,"('-37.6526279', '144.5670064')",-37.6526279,144.5670064
44,44,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1442,1449,16085095,360.0,3,2,1,$360,"1/9 Satchville Avenue, Harkness VIC 3337",House,new,1560.0,"('-37.6526279', '144.5670064')",-37.6526279,144.5670064
45,45,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1489,16084984,350.0,1,1,0,$350 per week,"11a/131 Lonsdale Sreet, Melbourne VIC 3000",Studio,new,1521.0,Just do it by hand,J,u
46,46,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1506,1514,9505829,500.0,3,2,2,$500,"18/72 Stanley Road (enter via Church Road), Keysborough VIC 3173",Apartment / Unit / Flat,recentlyUpdated,2173.0,Just do it by hand,J,u
47,47,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1524,1532,16084845,800.0,2,2,1,$800.00,"204/378-390 St George Road, Fitzroy North VIC 3068",Apartment / Unit / Flat,new,3476.0,Just do it by hand,J,u
48,48,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1542,16084816,400.0,4,2,1,$400,"15 Midgard Road, Weir Views VIC 3338",House,new,1738.0,"('-37.8367172', '144.7213478')",-37.8367172,144.7213478
