Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Vesper,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Walhalla,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Warragul,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Warragul South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Warragul West,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Westbury,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Willow Grove,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Yarragon,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Yarragon South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Acheron,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Alexandra,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Buxton,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Castella,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Cathkin,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Caveat,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Devils River,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Dropmore,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Eildon,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Fawcett,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Flowerdale,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Ghin Ghin,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Glenburn,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Gobur,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Highlands,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
Homewood,MURRINDINDI,March,"1,776.90",241,"3,354.70",,,455,603,"4,445.90",286,"2,108.70"
